,,,,,,,,,,,,,,,,,,,,,,,,,FF42,GG42,HH42,II42,JJ42,,,,,,,,,,TT100
,,,,,,,,,,,,,,,,,,,,,,,,EE40,FF40,GG40,HH40,II40,JJ40,KK40,LL40,MM40,NN40,OO40,PP40,QQ40,RR40,SS40,TT101
,,,,,,,,,,,,,,,,Q38,,,,,,,,EE38,FF38,GG38,HH38,II38,JJ38,KK38,LL38,MM38,NN38,OO38,PP38,QQ38,RR38,SS38,TT102
,,,,,,,,,,,L36,M36,N36,O36,P36,Q36,,,,,,,,EE36,FF36,GG36,HH36,II36,JJ36,KK36,LL36,MM36,NN36,OO36,PP36,QQ36,RR36,SS36,TT103
,,,,,,,,,,K34,L34,M34,N34,O34,P34,Q34,,,,,,,,EE34,FF34,GG34,HH34,II34,JJ34,KK34,LL34,MM34,NN34,OO34,PP34,QQ34,RR34,SS34,TT104
,,,,,,,,,,K32,L32,M32,N32,O32,P32,Q32,,,,AA32,BB32,CC32,DD32,EE32,FF32,GG32,HH32,II32,JJ32,KK32,LL32,MM32,NN32,OO32,PP32,QQ32,RR32,SS32,TT105
,,,,,,,,,,K30,L30,M30,N30,O30,P30,Q30,,,,AA30,BB30,CC30,DD30,EE30,FF30,GG30,HH30,II30,JJ30,KK30,LL30,MM30,NN30,OO30,PP30,QQ30,RR30,SS30,TT106
,,,,,,,,I28,J30,K28,L28,M28,N28,O28,P28,Q28,,,,AA28,BB28,CC28,DD28,EE28,FF28,GG28,HH28,II28,JJ28,KK28,LL28,MM28,NN28,OO28,PP28,QQ28,RR28,SS28,TT107
,,,,,,,,I26,J28,K26,L26,M26,N26,O26,P26,Q26,,,,AA26,BB26,CC26,DD26,EE26,FF26,GG26,HH26,II26,JJ26,KK26,LL26,MM26,NN26,OO26,PP26,QQ26,RR26,SS26,TT108
,,,,,,,H24,I24,J26,K24,L24,M24,N24,O24,P24,Q24,,,,AA24,BB24,CC24,DD24,EE24,FF24,GG24,HH24,II24,JJ24,KK24,LL24,MM24,NN24,OO24,PP24,QQ24,RR24,SS24,TT109
,,,,,,G22,H22,I22,J24,K22,L22,M22,N22,O22,P22,Q22,,,,AA22,BB22,CC22,DD22,EE22,FF22,GG22,HH22,II22,JJ22,KK22,LL22,MM22,NN22,OO22,PP22,QQ22,RR22,SS22,TT110
,,,,,F20,G20,H20,I20,J22,K20,L20,M20,N20,O20,P20,Q20,,,,AA20,BB20,CC20,DD20,EE20,FF20,GG20,HH20,II20,JJ20,KK20,LL20,MM20,NN20,OO20,PP20,QQ20,RR20,SS20,TT111
,,,,E18,F18,G18,H18,I18,J18,K18,L18,M18,N18,O18,P18,Q18,,,,AA18,BB18,CC18,DD18,EE18,FF18,GG18,HH18,II18,JJ18,KK18,LL18,MM18,NN18,OO18,PP18,QQ18,RR18,SS18,TT112
,,,,E16,F16,G16,H16,I16,J16,K16,L16,M16,N16,O16,P16,Q16,,,,AA16,BB16,CC16,DD16,EE16,FF16,GG16,HH16,II16,JJ16,KK16,LL16,MM16,NN16,OO16,PP16,QQ16,RR16,SS16,TT113
,,,D14,E14,F14,G14,H14,I14,J14,K14,L14,M14,N14,O14,P14,Q14,,,,AA14,BB14,CC14,DD14,EE14,FF14,GG14,HH14,II14,JJ14,KK14,LL14,MM14,NN14,OO14,PP14,QQ14,RR14,SS14,TT114
,,C12,D12,E12,F12,G12,H12,I12,J12,K12,L12,M12,N12,O12,P12,Q12,,,,AA12,BB12,CC12,DD12,EE12,FF12,GG12,HH12,II12,JJ12,KK12,LL12,MM12,NN12,OO12,PP12,QQ12,RR12,SS12,TT115
